Column1,name,album,release_date,track_number,id,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,duration_ms
307,the 1,folklore,2020/7/24,1,0Jlcvv8IykzHaSmj49uNW8,spotify:track:0Jlcvv8IykzHaSmj49uNW8,0.757,0.777,0.357,0.00000728,0.108,-6.942,0.0522,139.884,0.172,74,210251
308,cardigan,folklore,2020/7/24,2,4R2kfaDFhslZEMJqAFNpdd,spotify:track:4R2kfaDFhslZEMJqAFNpdd,0.537,0.613,0.581,0.000345,0.25,-8.588,0.0424,130.033,0.551,84,239560
309,the last great american dynasty,folklore,2020/7/24,3,2Eeur20xVqfUoM3Q7EFPFt,spotify:track:2Eeur20xVqfUoM3Q7EFPFt,0.467,0.686,0.662,0.0023,0.109,-8.505,0.0413,147.922,0.706,70,230999
310,exile (feat. Bon Iver),folklore,2020/7/24,4,4pvb0WLRcMtbPGmtejJJ6y,spotify:track:4pvb0WLRcMtbPGmtejJJ6y,0.778,0.298,0.38,0.0000562,0.11,-8.426,0.0287,75.602,0.152,77,285634
311,my tears ricochet,folklore,2020/7/24,5,1MgV7FIyNxIG7WzMRJV5HC,spotify:track:1MgV7FIyNxIG7WzMRJV5HC,0.806,0.469,0.263,0,0.0749,-10.63,0.0329,129.86,0.112,78,255893
312,mirrorball,folklore,2020/7/24,6,0ZNU020wNYvgW84iljPkPP,spotify:track:0ZNU020wNYvgW84iljPkPP,0.687,0.553,0.413,0.00000233,0.0594,-10.037,0.0334,110.107,0.379,73,208977
313,seven,folklore,2020/7/24,7,6KJqZcs9XDgVck7Lg9QOTC,spotify:track:6KJqZcs9XDgVck7Lg9QOTC,0.9,0.596,0.488,0.000027,0.091,-10.769,0.0274,94.922,0.415,70,208906
314,august,folklore,2020/7/24,8,3hUxzQpSfdDqwM3ZTFQY0K,spotify:track:3hUxzQpSfdDqwM3ZTFQY0K,0.538,0.532,0.623,0.0000728,0.0925,-9.208,0.0331,89.937,0.403,84,261922
315,this is me trying,folklore,2020/7/24,9,7kt9e9LFSpN1zQtYEl19o1,spotify:track:7kt9e9LFSpN1zQtYEl19o1,0.314,0.515,0.476,0.0000474,0.171,-9.843,0.0328,135.886,0.412,73,195097
316,illicit affairs,folklore,2020/7/24,10,2NmsngXHeC1GQ9wWrzhOMf,spotify:track:2NmsngXHeC1GQ9wWrzhOMf,0.881,0.559,0.31,0,0.106,-10.445,0.0338,119.845,0.46,77,190898
317,invisible string,folklore,2020/7/24,11,6VsvKPJ4xjVNKpI8VVZ3SV,spotify:track:6VsvKPJ4xjVNKpI8VVZ3SV,0.838,0.653,0.452,0.0000773,0.108,-11.143,0.055,83.433,0.45,73,252880
318,mad woman,folklore,2020/7/24,12,2QDyYdZyhlP2fp79KZX8Bi,spotify:track:2QDyYdZyhlP2fp79KZX8Bi,0.655,0.592,0.699,0.0000168,0.114,-8.995,0.0471,141.916,0.506,65,237258
319,epiphany,folklore,2020/7/24,13,08fa9LFcFBTcilB3iq2e2A,spotify:track:08fa9LFcFBTcilB3iq2e2A,0.731,0.175,0.267,0.000402,0.0858,-13.69,0.0302,94.203,0.106,64,289749
320,betty,folklore,2020/7/24,14,5kI4eCXXzyuIUXjQra0Cxi,spotify:track:5kI4eCXXzyuIUXjQra0Cxi,0.6,0.593,0.377,0,0.0976,-8.761,0.0253,95.939,0.502,73,294521
321,peace,folklore,2020/7/24,15,7MbT4I8qGntX4fMdqMQgke,spotify:track:7MbT4I8qGntX4fMdqMQgke,0.918,0.647,0.272,0.0000173,0.0918,-12.906,0.0916,150.044,0.339,65,234000
322,hoax,folklore,2020/7/24,16,6MWoRt97mnSTXZhu3ggi9C,spotify:track:6MWoRt97mnSTXZhu3ggi9C,0.966,0.662,0.181,0.00000386,0.133,-15.065,0.0415,118.819,0.429,65,220042
323,I Forgot That You Existed,Lover,2019/8/23,1,43rA71bccXFGD4C8GOpIlN,spotify:track:43rA71bccXFGD4C8GOpIlN,0.298,0.664,0.316,0.00000203,0.0812,-10.345,0.519,92.875,0.541,71,170640
324,Cruel Summer,Lover,2019/8/23,2,1BxfuPKGuaTgP7aM0Bbdwr,spotify:track:1BxfuPKGuaTgP7aM0Bbdwr,0.117,0.552,0.702,0.0000206,0.105,-5.707,0.157,169.994,0.564,93,178426
325,Lover,Lover,2019/8/23,3,1dGr1c8CrMLDpV6mPbImSI,spotify:track:1dGr1c8CrMLDpV6mPbImSI,0.492,0.359,0.543,0.0000158,0.118,-7.582,0.0919,68.534,0.453,86,221306
326,The Man,Lover,2019/8/23,4,3RauEVgRgj1IuWdJ9fDs70,spotify:track:3RauEVgRgj1IuWdJ9fDs70,0.0767,0.777,0.658,0,0.0901,-5.191,0.054,110.048,0.633,81,190360
327,The Archer,Lover,2019/8/23,5,3pHkh7d0lzM2AldUtz2x37,spotify:track:3pHkh7d0lzM2AldUtz2x37,0.12,0.292,0.574,0.00569,0.0663,-9.375,0.0401,124.344,0.166,75,211240
328,I Think He Knows,Lover,2019/8/23,6,2YWtcWi3a83pdEg3Gif4Pd,spotify:track:2YWtcWi3a83pdEg3Gif4Pd,0.00889,0.897,0.366,0.000353,0.0715,-8.029,0.0569,100.003,0.416,72,173386
329,Miss Americana & The Heartbreak Prince,Lover,2019/8/23,7,214nt20w5wOxJnY462klLw,spotify:track:214nt20w5wOxJnY462klLw,0.028,0.662,0.747,0.00615,0.138,-6.926,0.0736,150.088,0.487,79,234146
